timestamp,class,name
15:2:54:837, __InstanceCreationEvent, conhost.exe, 1908
15:2:54:841, __InstanceCreationEvent, rg.exe, 22656
15:2:55:890, __InstanceDeletionEvent, conhost.exe, 1908
15:2:55:894, __InstanceDeletionEvent, rg.exe, 22656
15:3:9:762, __InstanceCreationEvent, cpptools-srv.exe, 19968
15:3:9:762, __InstanceCreationEvent, conhost.exe, 23328
15:3:16:179, __InstanceCreationEvent, RuntimeBroker.exe, 22296
15:3:16:183, __InstanceCreationEvent, backgroundTaskHost.exe, 24376
15:3:16:183, __InstanceCreationEvent, backgroundTaskHost.exe, 6512
15:3:17:243, __InstanceCreationEvent, svchost.exe, 11704
15:3:17:247, __InstanceCreationEvent, RuntimeBroker.exe, 22508
15:3:17:247, __InstanceCreationEvent, svchost.exe, 9864
15:3:19:379, __InstanceCreationEvent, RuntimeBroker.exe, 14352
15:3:19:382, __InstanceCreationEvent, svchost.exe, 1724
15:3:19:382, __InstanceCreationEvent, backgroundTaskHost.exe, 2164
15:3:22:598, __InstanceCreationEvent, cpptools-srv.exe, 22980
15:3:22:603, __InstanceCreationEvent, conhost.exe, 23804
15:3:23:667, __InstanceCreationEvent, SearchProtocolHost.exe, 23288
15:3:25:809, __InstanceDeletionEvent, cpptools-srv.exe, 19968
15:3:25:815, __InstanceDeletionEvent, conhost.exe, 23328
15:3:26:883, __InstanceCreationEvent, sppsvc.exe, 18900
15:3:32:193, __InstanceDeletionEvent, chrome.exe, 23160
15:3:50:236, __InstanceCreationEvent, chrome.exe, 8288
15:3:57:695, __InstanceDeletionEvent, sppsvc.exe, 18900
15:4:4:107, __InstanceCreationEvent, git.exe, 23968
15:4:4:110, __InstanceCreationEvent, git.exe, 24468
15:4:4:110, __InstanceCreationEvent, conhost.exe, 2888
15:4:5:187, __InstanceDeletionEvent, git.exe, 23968
15:4:5:191, __InstanceDeletionEvent, git.exe, 24468
15:4:5:191, __InstanceDeletionEvent, conhost.exe, 2888
15:4:16:948, __InstanceDeletionEvent, backgroundTaskHost.exe, 6512
15:4:24:407, __InstanceCreationEvent, conhost.exe, 22588
15:4:24:412, __InstanceCreationEvent, powershell.exe, 23508
15:4:30:834, __InstanceDeletionEvent, cpptools-srv.exe, 22980
15:4:30:837, __InstanceDeletionEvent, conhost.exe, 23804
15:4:35:64, __InstanceDeletionEvent, backgroundTaskHost.exe, 2164
15:4:46:731, __InstanceDeletionEvent, RuntimeBroker.exe, 22296
15:5:4:861, __InstanceDeletionEvent, RuntimeBroker.exe, 14352
15:5:18:705, __InstanceDeletionEvent, SearchProtocolHost.exe, 23288
15:6:22:677, __InstanceCreationEvent, chrome.exe, 12732
15:6:22:682, __InstanceCreationEvent, chrome.exe, 21936
15:6:38:674, __InstanceDeletionEvent, chrome.exe, 11628
15:6:38:674, __InstanceDeletionEvent, chrome.exe, 12732
15:6:38:680, __InstanceDeletionEvent, audiodg.exe, 14588
15:7:13:773, __InstanceCreationEvent, taskhostw.exe, 12552
15:7:14:830, __InstanceCreationEvent, sppsvc.exe, 6516
15:7:14:834, __InstanceDeletionEvent, taskhostw.exe, 12552
15:7:44:674, __InstanceDeletionEvent, sppsvc.exe, 6516
15:8:16:679, __InstanceDeletionEvent, svchost.exe, 11704
15:8:16:683, __InstanceDeletionEvent, svchost.exe, 9864
15:9:34:444, __InstanceDeletionEvent, svchost.exe, 1724
15:9:35:516, __InstanceCreationEvent, conhost.exe, 18424
15:9:35:520, __InstanceCreationEvent, cpptools-srv.exe, 23640
15:9:48:295, __InstanceCreationEvent, GoogleUpdate.exe, 152
15:9:49:344, __InstanceDeletionEvent, GoogleUpdate.exe, 152
15:9:49:352, __InstanceCreationEvent, RuntimeBroker.exe, 10500
15:9:49:356, __InstanceCreationEvent, backgroundTaskHost.exe, 13104
15:10:0:13, __InstanceCreationEvent, conhost.exe, 15416
15:10:0:34, __InstanceCreationEvent, git.exe, 18480
15:10:0:34, __InstanceCreationEvent, conhost.exe, 21060
15:10:0:34, __InstanceCreationEvent, git.exe, 4604
15:10:1:69, __InstanceDeletionEvent, conhost.exe, 15416
15:10:1:72, __InstanceDeletionEvent, git.exe, 18480
15:10:1:72, __InstanceDeletionEvent, conhost.exe, 21060
15:10:1:72, __InstanceDeletionEvent, git.exe, 4604
15:10:48:767, __InstanceDeletionEvent, backgroundTaskHost.exe, 13104
15:11:2:592, __InstanceCreationEvent, RuntimeBroker.exe, 23740
15:11:18:569, __InstanceDeletionEvent, RuntimeBroker.exe, 10500
15:11:22:816, __InstanceCreationEvent, chrome.exe, 14976
15:11:22:819, __InstanceCreationEvent, chrome.exe, 23068
15:11:38:818, __InstanceDeletionEvent, chrome.exe, 21936
15:11:38:822, __InstanceDeletionEvent, chrome.exe, 23068
15:11:43:86, __InstanceDeletionEvent, RuntimeBroker.exe, 23740
15:11:45:229, __InstanceDeletionEvent, svchost.exe, 8732
15:12:36:256, __InstanceCreationEvent, svchost.exe, 6292
15:12:48:7, __InstanceDeletionEvent, conhost.exe, 18424
15:12:48:7, __InstanceDeletionEvent, cpptools-srv.exe, 23640
15:13:50:983, __InstanceDeletionEvent, chrome.exe, 8288
15:15:1:260, __InstanceCreationEvent, chrome.exe, 10328
15:15:3:390, __InstanceCreationEvent, BackgroundDownload.exe, 5160
15:15:3:394, __InstanceCreationEvent, MoUsoCoreWorker.exe, 6112
15:15:4:446, __InstanceDeletionEvent, BackgroundDownload.exe, 5160
15:15:4:446, __InstanceCreationEvent, svchost.exe, 16852
15:15:4:446, __InstanceCreationEvent, svchost.exe, 21404
15:15:4:446, __InstanceCreationEvent, svchost.exe, 21912
15:15:5:502, __InstanceCreationEvent, svchost.exe, 22848
15:15:9:765, __InstanceCreationEvent, svchost.exe, 23688
15:15:9:765, __InstanceCreationEvent, WmiPrvSE.exe, 24524
15:15:27:899, __InstanceCreationEvent, svchost.exe, 24232
15:15:27:899, __InstanceCreationEvent, VSSVC.exe, 9068
15:16:4:142, __InstanceDeletionEvent, svchost.exe, 21912
15:16:19:931, __InstanceCreationEvent, RuntimeBroker.exe, 396
15:16:23:99, __InstanceCreationEvent, chrome.exe, 18424
15:16:23:114, __InstanceCreationEvent, chrome.exe, 7364
15:16:31:494, __InstanceDeletionEvent, chrome.exe, 10328
15:16:34:660, __InstanceCreationEvent, taskhostw.exe, 23440
15:16:38:891, __InstanceDeletionEvent, chrome.exe, 14976
15:16:38:891, __InstanceDeletionEvent, chrome.exe, 18424
15:16:59:928, __InstanceDeletionEvent, RuntimeBroker.exe, 396
15:17:25:192, __InstanceDeletionEvent, MoUsoCoreWorker.exe, 6112
15:17:36:737, __InstanceDeletionEvent, taskhostw.exe, 23440
15:17:43:58, __InstanceCreationEvent, chrome.exe, 15420
15:18:12:412, __InstanceDeletionEvent, svchost.exe, 23688
15:18:22:970, __InstanceCreationEvent, msedge.exe, 10916
15:18:22:974, __InstanceDeletionEvent, msedge.exe, 10688
15:18:22:974, __InstanceDeletionEvent, backgroundTaskHost.exe, 13168
15:18:22:974, __InstanceDeletionEvent, msedge.exe, 18632
15:18:22:974, __InstanceDeletionEvent, msedge.exe, 21660
15:18:22:984, __InstanceCreationEvent, svchost.exe, 11644
15:18:22:984, __InstanceCreationEvent, msedge.exe, 15400
15:18:22:984, __InstanceCreationEvent, msedge.exe, 18216
15:18:22:984, __InstanceCreationEvent, msedge.exe, 23312
15:18:22:984, __InstanceCreationEvent, msedge.exe, 4780
15:18:22:984, __InstanceCreationEvent, msedge.exe, 4948
15:18:22:984, __InstanceCreationEvent, msedge.exe, 5972
15:18:22:984, __InstanceCreationEvent, msedge.exe, 8432
15:18:23:0, __InstanceDeletionEvent, msedge.exe, 4080
15:18:23:0, __InstanceDeletionEvent, msedge.exe, 4180
15:18:24:27, __InstanceCreationEvent, identity_helper.exe, 11320
15:18:24:27, __InstanceDeletionEvent, msedge.exe, 8432
15:18:24:27, __InstanceCreationEvent, SearchProtocolHost.exe, 24436
15:18:24:27, __InstanceCreationEvent, smartscreen.exe, 4140
15:18:33:480, __InstanceDeletionEvent, identity_helper.exe, 11320
15:18:35:579, __InstanceDeletionEvent, WmiPrvSE.exe, 24524
15:18:52:373, __InstanceDeletionEvent, RuntimeBroker.exe, 22332
15:18:53:428, __InstanceDeletionEvent, msedge.exe, 18216
15:18:53:428, __InstanceDeletionEvent, msedge.exe, 5972
15:19:22:839, __InstanceDeletionEvent, VSSVC.exe, 9068
15:19:35:451, __InstanceCreationEvent, svchost.exe, 23836
15:19:35:451, __InstanceCreationEvent, svchost.exe, 2520
15:19:37:593, __InstanceCreationEvent, audiodg.exe, 24156
15:20:5:388, __InstanceDeletionEvent, svchost.exe, 23836
15:20:5:388, __InstanceDeletionEvent, svchost.exe, 2520
15:20:9:650, __InstanceCreationEvent, msedge.exe, 23244
15:20:9:657, __InstanceCreationEvent, msedge.exe, 23656
15:20:9:657, __InstanceCreationEvent, msedge.exe, 24536
15:20:9:657, __InstanceCreationEvent, msedge.exe, 9836
15:20:10:713, __InstanceDeletionEvent, msedge.exe, 23244
15:20:10:718, __InstanceDeletionEvent, msedge.exe, 23656
15:20:10:718, __InstanceDeletionEvent, msedge.exe, 24536
15:20:10:718, __InstanceDeletionEvent, msedge.exe, 9836
15:20:18:193, __InstanceCreationEvent, cpptools-srv.exe, 10020
15:20:18:197, __InstanceCreationEvent, conhost.exe, 12976
15:20:38:449, __InstanceCreationEvent, conhost.exe, 15072
15:20:38:453, __InstanceCreationEvent, cpptools-srv.exe, 24404
15:20:39:521, __InstanceDeletionEvent, cpptools-srv.exe, 10020
15:20:39:521, __InstanceDeletionEvent, conhost.exe, 12976
15:21:23:108, __InstanceCreationEvent, chrome.exe, 23588
15:21:23:108, __InstanceCreationEvent, chrome.exe, 24096
15:21:24:173, __InstanceDeletionEvent, svchost.exe, 16852
15:21:30:614, __InstanceDeletionEvent, SearchProtocolHost.exe, 24436
15:21:39:176, __InstanceDeletionEvent, chrome.exe, 23588
15:21:39:180, __InstanceDeletionEvent, chrome.exe, 7364
15:22:22:811, __InstanceDeletionEvent, svchost.exe, 11644
15:22:22:811, __InstanceDeletionEvent, svchost.exe, 24232
15:22:36:611, __InstanceDeletionEvent, svchost.exe, 6292
15:22:42:949, __InstanceDeletionEvent, chrome.exe, 15420
15:22:46:149, __InstanceCreationEvent, chrome.exe, 24492
15:23:23:381, __InstanceDeletionEvent, smartscreen.exe, 4140
15:23:52:165, __InstanceDeletionEvent, conhost.exe, 15072
15:23:52:165, __InstanceDeletionEvent, cpptools-srv.exe, 24404
