timestamp,class,name
16:33:13:619, __InstanceDeletionEvent, conhost.exe, 16964
16:33:15:687, __InstanceCreationEvent, backgroundTaskHost.exe, 20512
16:33:16:734, __InstanceCreationEvent, smartscreen.exe, 16732
16:33:16:734, __InstanceCreationEvent, notepad++.exe, 2732
16:33:16:747, __InstanceDeletionEvent, backgroundTaskHost.exe, 20512
16:33:20:918, __InstanceDeletionEvent, notepad++.exe, 2732
16:33:35:551, __InstanceCreationEvent, svchost.exe, 13628
16:33:35:551, __InstanceCreationEvent, WindowsTerminal.exe, 15912
16:33:35:551, __InstanceCreationEvent, OpenConsole.exe, 5256
16:33:35:551, __InstanceCreationEvent, powershell.exe, 6700
16:33:38:679, __InstanceDeletionEvent, WindowsTerminal.exe, 15912
16:33:38:679, __InstanceDeletionEvent, OpenConsole.exe, 5256
16:33:38:679, __InstanceDeletionEvent, powershell.exe, 6700
16:33:46:20, __InstanceDeletionEvent, chrome.exe, 12388
16:33:46:20, __InstanceCreationEvent, git.exe, 10460
16:33:46:20, __InstanceCreationEvent, git.exe, 10616
16:33:46:20, __InstanceCreationEvent, conhost.exe, 14644
16:33:47:76, __InstanceDeletionEvent, git.exe, 10460
16:33:47:80, __InstanceDeletionEvent, git.exe, 10616
16:33:47:80, __InstanceDeletionEvent, conhost.exe, 14644
16:33:55:511, __InstanceCreationEvent, chrome.exe, 4512
16:34:3:906, __InstanceDeletionEvent, chrome.exe, 13936
16:34:12:322, __InstanceDeletionEvent, chrome.exe, 11612
16:34:16:485, __InstanceDeletionEvent, chrome.exe, 19224
16:34:16:485, __InstanceDeletionEvent, chrome.exe, 21024
16:34:18:571, __InstanceDeletionEvent, chrome.exe, 11528
16:34:18:571, __InstanceDeletionEvent, chrome.exe, 22372
16:34:27:988, __InstanceCreationEvent, cpptools-srv.exe, 12820
16:34:27:992, __InstanceCreationEvent, conhost.exe, 22484
16:34:35:322, __InstanceDeletionEvent, cpptools-srv.exe, 19048
16:34:35:327, __InstanceDeletionEvent, conhost.exe, 19880
16:34:38:457, __InstanceDeletionEvent, audiodg.exe, 1276
16:34:42:652, __InstanceCreationEvent, chrome.exe, 16024
16:34:42:655, __InstanceCreationEvent, chrome.exe, 22364
16:34:44:768, __InstanceCreationEvent, chrome.exe, 19368
16:34:45:830, __InstanceDeletionEvent, chrome.exe, 22364
16:34:45:834, __InstanceDeletionEvent, chrome.exe, 3748
16:34:49:14, __InstanceCreationEvent, chrome.exe, 7736
16:34:51:111, __InstanceCreationEvent, audiodg.exe, 13328
16:35:59:932, __InstanceDeletionEvent, chrome.exe, 10696
16:36:5:171, __InstanceDeletionEvent, chrome.exe, 1932
16:36:14:558, __InstanceCreationEvent, chrome.exe, 7796
16:36:14:558, __InstanceCreationEvent, RuntimeBroker.exe, 8444
16:36:15:611, __InstanceCreationEvent, chrome.exe, 18468
16:36:30:248, __InstanceDeletionEvent, chrome.exe, 7796
16:36:44:863, __InstanceDeletionEvent, chrome.exe, 7736
16:36:47:980, __InstanceDeletionEvent, chrome.exe, 4512
16:36:54:264, __InstanceDeletionEvent, RuntimeBroker.exe, 8444
